sequence,tx_ns,rx_ns,latency_ns
507,200000000,200001216,1216
508,200000000,200001218,1218
509,200000000,200001220,1220
510,200000000,200001222,1222
511,200000000,200001224,1224
512,200000000,200001226,1226
513,200000000,200001228,1228
514,200000000,200001230,1230
515,200000000,200001232,1232
516,200000000,200001234,1234
517,200000000,200001236,1236
518,200000000,200001238,1238
519,200000000,200001240,1240
520,200000000,200001242,1242
521,200000000,200001244,1244
522,200000000,200001246,1246
523,200000000,200001248,1248
524,200000000,200001250,1250
525,200000000,200001252,1252
526,200000000,200001254,1254
527,200000000,200001256,1256
528,200000000,200001258,1258
529,200000000,200001260,1260
530,200000000,200001262,1262
531,200000000,200001264,1264
532,200000000,200001266,1266
533,200000000,200001268,1268
534,200000000,200001270,1270
535,200000000,200001272,1272
536,200000000,200001274,1274
537,200000000,200001276,1276
538,200000000,200001278,1278
539,200000000,200001280,1280
540,200000000,200001282,1282
541,200000000,200001284,1284
542,200000000,200001286,1286
543,200000000,200001288,1288
544,200000000,200001290,1290
545,200000000,200001292,1292
546,200000000,200001294,1294
547,200000000,200001296,1296
548,200000000,200001298,1298
549,200000000,200001300,1300
550,200000000,200001302,1302
551,200000000,200001304,1304
552,200000000,200001306,1306
553,200000000,200001308,1308
554,200000000,200001310,1310
555,200000000,200001312,1312
556,200000000,200001314,1314
557,200000000,200001316,1316
558,200000000,200001318,1318
559,200000000,200001320,1320
560,200000000,200001322,1322
561,200000000,200001324,1324
562,200000000,200001326,1326
563,200000000,200001328,1328
564,200000000,200001330,1330
565,200000000,200001332,1332
566,200000000,200001334,1334
567,200000000,200001336,1336
568,200000000,200001338,1338
569,200000000,200001340,1340
570,200000000,200001342,1342
571,200000000,200001344,1344
572,200000000,200001346,1346
573,200000000,200001348,1348
574,200000000,200001350,1350
575,200000000,200001352,1352
576,200000000,200001354,1354
577,200000000,200001356,1356
578,200000000,200001358,1358
579,200000000,200001360,1360
580,200000000,200001362,1362
581,200000000,200001364,1364
582,200000000,200001366,1366
583,200000000,200001368,1368
584,200000000,200001370,1370
585,200000000,200001372,1372
586,200000000,200001374,1374
587,200000000,200001376,1376
588,200000000,200001378,1378
589,200000000,200001380,1380
590,200000000,200001382,1382
591,200000000,200001384,1384
592,200000000,200001386,1386
593,200000000,200001388,1388
594,200000000,200001390,1390
595,200000000,200001392,1392
596,200000000,200001394,1394
597,200000000,200001396,1396
598,200000000,200001398,1398
599,200000000,200001400,1400
600,200000000,200001402,1402
601,200000000,200001404,1404
602,200000000,200001406,1406
603,200000000,200001408,1408
604,200000000,200001410,1410
605,200000000,200001412,1412
606,200000000,200001414,1414
607,200000000,200001416,1416
608,200000000,200001418,1418
609,200000000,200001420,1420
610,200000000,200001422,1422
611,200000000,200001424,1424
612,200000000,200001426,1426
613,200000000,200001428,1428
614,200000000,200001430,1430
615,200000000,200001432,1432
616,200000000,200001434,1434
617,200000000,200001436,1436
618,200000000,200001438,1438
619,200000000,200001440,1440
620,200000000,200001442,1442
621,200000000,200001444,1444
622,200000000,200001446,1446
623,200000000,200001448,1448
624,200000000,200001450,1450
625,200000000,200001452,1452
626,200000000,200001454,1454
627,200000000,200001456,1456
628,200000000,200001458,1458
629,200000000,200001460,1460
630,200000000,200001462,1462
631,200000000,200001464,1464
632,200000000,200001466,1466
633,200000000,200001468,1468
634,200000000,200001470,1470
635,200000000,200001472,1472
636,200000000,200001474,1474
637,200000000,200001476,1476
638,200000000,200001478,1478
639,200000000,200001480,1480
640,200000000,200001482,1482
641,200000000,200001484,1484
642,200000000,200001486,1486
643,200000000,200001488,1488
644,200000000,200001490,1490
645,200000000,200001492,1492
646,200000000,200001494,1494
647,200000000,200001496,1496
648,200000000,200001498,1498
649,200000000,200001500,1500
650,200000000,200001502,1502
651,200000000,200001504,1504
652,200000000,200001506,1506
653,200000000,200001508,1508
654,200000000,200001510,1510
655,200000000,200001512,1512
656,200000000,200001514,1514
657,200000000,200001516,1516
658,200000000,200001518,1518
659,200000000,200001520,1520
660,200000000,200001522,1522
661,200000000,200001524,1524
662,200000000,200001526,1526
663,200000000,200001528,1528
664,200000000,200001530,1530
665,200000000,200001532,1532
666,200000000,200001534,1534
667,200000000,200001536,1536
668,200000000,200001538,1538
669,200000000,200001540,1540
670,200000000,200001542,1542
671,200000000,200001544,1544
672,200000000,200001546,1546
673,200000000,200001548,1548
674,200000000,200001550,1550
675,200000000,200001552,1552
676,200000000,200001554,1554
677,200000000,200001556,1556
678,200000000,200001558,1558
679,200000000,200001560,1560
680,200000000,200001562,1562
681,200000000,200001564,1564
682,200000000,200001566,1566
683,200000000,200001568,1568
684,200000000,200001570,1570
685,200000000,200001572,1572
686,200000000,200001574,1574
687,200000000,200001576,1576
688,200000000,200001578,1578
689,200000000,200001580,1580
690,200000000,200001582,1582
691,200000000,200001584,1584
692,200000000,200001586,1586
693,200000000,200001588,1588
694,200000000,200001590,1590
695,200000000,200001592,1592
696,200000000,200001594,1594
697,200000000,200001596,1596
698,200000000,200001598,1598
699,200000000,200001600,1600
700,200000000,200001602,1602
701,200000000,200001604,1604
702,200000000,200001606,1606
703,200000000,200001608,1608
704,200000000,200001610,1610
705,200000000,200001612,1612
706,200000000,200001614,1614
707,200000000,200001616,1616
708,200000000,200001618,1618
709,200000000,200001620,1620
710,200000000,200001622,1622
711,200000000,200001624,1624
712,200000000,200001626,1626
713,200000000,200001628,1628
714,200000000,200001630,1630
715,200000000,200001632,1632
716,200000000,200001634,1634
717,200000000,200001636,1636
718,200000000,200001638,1638
719,200000000,200001640,1640
720,200000000,200001642,1642
721,200000000,200001644,1644
722,200000000,200001646,1646
723,200000000,200001648,1648
724,200000000,200001650,1650
725,200000000,200001652,1652
726,200000000,200001654,1654
727,200000000,200001656,1656
728,200000000,200001658,1658
729,200000000,200001660,1660
730,200000000,200001662,1662
731,200000000,200001664,1664
732,200000000,200001666,1666
733,200000000,200001668,1668
734,200000000,200001670,1670
735,200000000,200001672,1672
736,200000000,200001674,1674
737,200000000,200001676,1676
738,200000000,200001678,1678
739,200000000,200001680,1680
740,200000000,200001682,1682
741,200000000,200001684,1684
742,200000000,200001686,1686
743,200000000,200001688,1688
744,200000000,200001690,1690
745,200000000,200001692,1692
746,200000000,200001694,1694
747,200000000,200001696,1696
748,200000000,200001698,1698
749,200000000,200001700,1700
750,200000000,200001702,1702
751,200000000,200001704,1704
752,200000000,200001706,1706
753,200000000,200001708,1708
754,200000000,200001710,1710
755,200000000,200001712,1712
756,200000000,200001714,1714
757,200000000,200001716,1716
758,200000000,200001718,1718
759,200000000,200001720,1720
760,200000000,200001722,1722
761,200000000,200001724,1724
762,200000000,200001726,1726
763,200000000,200001728,1728
764,200000000,200001730,1730
765,200000000,200001732,1732
766,200000000,200001734,1734
767,200000000,200001736,1736
768,200000000,200001738,1738
769,200000000,200001740,1740
770,200000000,200001742,1742
771,200000000,200001744,1744
772,200000000,200001746,1746
773,200000000,200001748,1748
774,200000000,200001750,1750
775,200000000,200001752,1752
776,200000000,200001754,1754
777,200000000,200001756,1756
778,200000000,200001758,1758
779,200000000,200001760,1760
780,200000000,200001762,1762
781,200000000,200001764,1764
782,200000000,200001766,1766
783,200000000,200001768,1768
784,200000000,200001770,1770
785,200000000,200001772,1772
786,200000000,200001774,1774
787,200000000,200001776,1776
788,200000000,200001778,1778
789,200000000,200001780,1780
790,200000000,200001782,1782
791,200000000,200001784,1784
792,200000000,200001786,1786
793,200000000,200001788,1788
794,200000000,200001790,1790
795,200000000,200001792,1792
796,200000000,200001794,1794
797,200000000,200001796,1796
798,200000000,200001798,1798
799,200000000,200001800,1800
800,200000000,200001802,1802
801,200000000,200001804,1804
802,200000000,200001806,1806
803,200000000,200001808,1808
804,200000000,200001810,1810
805,200000000,200001812,1812
806,200000000,200001814,1814
807,200000000,200001816,1816
808,200000000,200001818,1818
809,200000000,200001820,1820
810,200000000,200001822,1822
811,200000000,200001824,1824
812,200000000,200001826,1826
813,200000000,200001828,1828
814,200000000,200001830,1830
815,200000000,200001832,1832
816,200000000,200001834,1834
817,200000000,200001836,1836
818,200000000,200001838,1838
819,200000000,200001840,1840
820,200000000,200001842,1842
821,200000000,200001844,1844
822,200000000,200001846,1846
823,200000000,200001848,1848
824,200000000,200001850,1850
825,200000000,200001852,1852
826,200000000,200001854,1854
827,200000000,200001856,1856
828,200000000,200001858,1858
829,200000000,200001860,1860
830,200000000,200001862,1862
831,200000000,200001864,1864
832,200000000,200001866,1866
833,200000000,200001868,1868
834,200000000,200001870,1870
835,200000000,200001872,1872
836,200000000,200001874,1874
837,200000000,200001876,1876
838,200000000,200001878,1878
839,200000000,200001880,1880
840,200000000,200001882,1882
841,200000000,200001884,1884
842,200000000,200001886,1886
843,200000000,200001888,1888
844,200000000,200001890,1890
845,200000000,200001892,1892
846,200000000,200001894,1894
847,200000000,200001896,1896
848,200000000,200001898,1898
849,200000000,200001900,1900
850,200000000,200001902,1902
851,200000000,200001904,1904
852,200000000,200001906,1906
853,200000000,200001908,1908
854,200000000,200001910,1910
855,200000000,200001912,1912
856,200000000,200001914,1914
857,200000000,200001916,1916
858,200000000,200001918,1918
859,200000000,200001920,1920
860,200000000,200001922,1922
861,200000000,200001924,1924
862,200000000,200001926,1926
863,200000000,200001928,1928
864,200000000,200001930,1930
865,200000000,200001932,1932
866,200000000,200001934,1934
867,200000000,200001936,1936
868,200000000,200001938,1938
869,200000000,200001940,1940
870,200000000,200001942,1942
871,200000000,200001944,1944
872,200000000,200001946,1946
873,200000000,200001948,1948
874,200000000,200001950,1950
875,200000000,200001952,1952
876,200000000,200001954,1954
877,200000000,200001956,1956
878,200000000,200001958,1958
879,200000000,200001960,1960
880,200000000,200001962,1962
881,200000000,200001964,1964
882,200000000,200001966,1966
883,200000000,200001968,1968
884,200000000,200001970,1970
885,200000000,200001972,1972
886,200000000,200001974,1974
887,200000000,200001976,1976
888,200000000,200001978,1978
889,200000000,200001980,1980
890,200000000,200001982,1982
891,200000000,200001984,1984
892,200000000,200001986,1986
893,200000000,200001988,1988
894,200000000,200001990,1990
895,200000000,200001992,1992
896,200000000,200001994,1994
897,200000000,200001996,1996
898,200000000,200001998,1998
899,200000000,200002000,2000
900,200000000,200002002,2002
901,200000000,200002004,2004
902,200000000,200002006,2006
903,200000000,200002008,2008
904,200000000,200002010,2010
905,200000000,200002012,2012
906,200000000,200002014,2014
907,200000000,200002016,2016
908,200000000,200002018,2018
909,200000000,200002020,2020
910,200000000,200002022,2022
911,200000000,200002024,2024
912,200000000,200002026,2026
913,200000000,200002028,2028
914,200000000,200002030,2030
915,200000000,200002032,2032
916,200000000,200002034,2034
917,200000000,200002036,2036
918,200000000,200002038,2038
919,200000000,200002040,2040
920,200000000,200002042,2042
